Word,Frequency,lgFreq,,,,,
nap,624,2.79518459,,,,,
moonlight,3,0.477121255,,,,,
rainbow,76,1.880813592,,,,,
lizard,34,1.531478917,,,,,
beside,75,1.875061263,,,,, 
curb,2,0.301029996,,,,,
dryer,36,1.556302501,,,,,
sprinkler,22,1.342422681,,,,,
cup,1160,3.064457989,,,,,
vow,0,0,,,,,
like,15307,4.184890082,,,,,
wrestling,9,0.954242509,,,,,
sale,50,1.698970004,,,,,
chest,103,2.012837225,,,,,
ill,16,1.204119983,,,,,
bump,282,2.450249108,,,,,
gently,75,1.875061263,,,,,
forehead,23,1.361727836,,,,,
drops,29,1.462397998,,,,,
dolly,463,2.665580991,,,,,
arm,439,2.64246452,,,,,
tobacco,10,1,,,,,
code,4,0.602059991,,,,,
wade,1,0,,,,,
unit,4,0.602059991,,,,,
brush,647,2.810904281,,,,,
scales,25,1.397940009,,,,,
listen,672,2.827369273,,,,,
always,503,2.701567985,,,,,
wipe,453,2.656098202,,,,,
job,746,2.872738827,,,,,
artist,17,1.230448921,,,,,
newspaper,66,1.819543936,,,,,
steer,10,1,,,,,
jelly,133,2.123851641,,,,,
ideal,4,0.602059991,,,,,
skateboard,16,1.204119983,,,,,
grandmother,22,1.342422681,,,,,
interesting,277,2.442479769,,,,,
contest,5,0.698970004,,,,,
strong,213,2.328379603,,,,,
center,20,1.301029996,,,,,
lily,26,1.414973348,,,,,
dentist,40,1.602059991,,,,,
change,481,2.682145076,,,,,
path,30,1.477121255,,,,,
kitten,75,1.875061263,,,,,
wheel,370,2.568201724,,,,,
peanut,122,2.086359831,,,,,
fan,92,1.963787827,,,,,
cloudy,10,1,,,,,
ladder,155,2.190331698,,,,,
straight,211,2.324282455,,,,,
blade,13,1.113943352,,,,,
picture,1230,3.089905111,,,,,
hug,357,2.552668216,,,,,
soup,301,2.478566496,,,,,
grandpa,280,2.447158031,,,,,
keeper,10,1,,,,,
angry,143,2.155336037,,,,,
back,6220,3.793790385,,,,,
smart,235,2.371067862,,,,,
out,7874,3.89619541,,,,,
cafeteria,3,0.477121255,,,,,
troll,17,1.230448921,,,,,
sleepy,364,2.561101384,,,,,
stir,106,2.025305865,,,,,
bib,236,2.372912003,,,,,
have,14331,4.156276496,,,,,
beneath,6,0.77815125,,,,,
fill,81,1.908485019,,,,,
woke,109,2.037426498,,,,,
do,37404,4.572918048,,,,,
curly,47,1.672097858,,,,,
break,669,2.825426118,,,,,
maple,5,0.698970004,,,,,
scrub,56,1.748188027,,,,,
for,13099,4.117238142,,,,,
saying,739,2.868644438,,,,,
with,13790,4.139564266,,,,,
going,8888,3.948804046,,,,,
mutt,5,0.698970004,,,,,
half,294,2.46834733,,,,,
them,8889,3.948852906,,,,,
chosen,1,0,,,,,
fine,409,2.611723308,,,,,
stroll,4,0.602059991,,,,,
factory,25,1.397940009,,,,,
typewriter,15,1.176091259,,,,,
needle,60,1.77815125,,,,,
pipe,109,2.037426498,,,,,
ambulance,49,1.69019608,,,,,
practice,58,1.763427994,,,,,
cell,2,0.301029996,,,,,
tickle,643,2.808210973,,,,,
emerald,0,0,,,,,
good-looking,0,0,,,,,
bum,29,1.462397998,,,,,
west,11,1.041392685,,,,,
hose,62,1.792391689,,,,,
gallop,4,0.602059991,,,,,
these,4133,3.616265405,,,,,
machine,225,2.352182518,,,,,
bravery,2,0.301029996,,,,,
whole,667,2.824125834,,,,,
chip,60,1.77815125,,,,,
troop,1,0,,,,,
lodge,0,0,,,,,
rover,10,1,,,,,
have to,0,0,,,,,
thieves,9,0.954242509,,,,,
sox,0,0,,,,,
clutch,4,0.602059991,,,,,
rabbit,530,2.72427587,,,,,
fuss,61,1.785329835,,,,,
jazz,2,0.301029996,,,,,
stairs,262,2.418301291,,,,,
shady,6,0.77815125,,,,,
ridden,6,0.77815125,,,,,
key,191,2.281033367,,,,,
north,64,1.806179974,,,,,
rehearse,0,0,,,,,
watermelon,36,1.556302501,,,,,
bundle,5,0.698970004,,,,,
majesty,0,0,,,,,
puzzle,542,2.733999287,,,,,
grandfather,11,1.041392685,,,,,
commander,5,0.698970004,,,,,
man,1538,3.186956335,,,,,
adverb,0,0,,,,,
ball,2298,3.361350024,,,,,
head,1894,3.277379975,,,,,
cry,460,2.662757832,,,,,
yawn,36,1.556302501,,,,,
okay,26415,4.421850615,,,,,
healthy,36,1.556302501,,,,,
octopus,60,1.77815125,,,,,
two,3714,3.569841899,,,,,
carefully,62,1.792391689,,,,,
grab,185,2.267171728,,,,,
open,2208,3.343999069,,,,,
sunlight,1,0,,,,,
everybody,390,2.591064607,,,,,
noisy,123,2.089905111,,,,,
build,705,2.848189117,,,,,
blow,658,2.818225894,,,,,
numbers,137,2.136720567,,,,,
tell,4385,3.641969598,,,,,
nothing,568,2.754348336,,,,,
using,140,2.146128036,,,,,
missing,232,2.365487985,,,,,
squeeze,103,2.012837225,,,,,
easy,274,2.437750563,,,,,
tried,135,2.130333768,,,,,
putting,750,2.875061263,,,,,
melt,27,1.431363764,,,,,
sort,177,2.247973266,,,,,
daily,8,0.903089987,,,,,
hurry,184,2.264817823,,,,,
fluffy,16,1.204119983,,,,,
fed,46,1.662757832,,,,,
inside,951,2.978180517,,,,,
sound,384,2.584331224,,,,,
palace,17,1.230448921,,,,,
saucer,37,1.568201724,,,,,
slid,9,0.954242509,,,,,
soak,3,0.477121255,,,,,
drew,82,1.913813852,,,,,
penguin,59,1.770852012,,,,,
choice,35,1.544068044,,,,,
cord,91,1.959041392,,,,,
thanks,229,2.359835482,,,,,
deep,110,2.041392685,,,,,
gray,36,1.556302501,,,,,
baseball,131,2.117271296,,,,,
checker,1,0,,,,,
raccoon,43,1.633468456,,,,,
memory,25,1.397940009,,,,,
airport,93,1.968482949,,,,,
join,22,1.342422681,,,,,
something,3483,3.541953474,,,,,
buttocks,0,0,,,,,
anything,1137,3.055760465,,,,,
wait,1983,3.297322714,,,,,
pink,373,2.571708832,,,,,
pouch,26,1.414973348,,,,,
sticky,169,2.227886705,,,,,
slip,43,1.633468456,,,,,
tall,272,2.434568904,,,,,
member,11,1.041392685,,,,,
rattle,126,2.100370545,,,,,
mike,127,2.103803721,,,,,
charge,19,1.278753601,,,,,
indoors,5,0.698970004,,,,,
jean,17,1.230448921,,,,,
roll,542,2.733999287,,,,,
hillside,0,0,,,,,
nod,2,0.301029996,,,,,
schoolhouse,6,0.77815125,,,,,
fifteen,65,1.812913357,,,,,
death,10,1,,,,,
where,10571,4.024116073,,,,,
place,679,2.831869774,,,,,
staring,12,1.079181246,,,,,
swan,11,1.041392685,,,,,
chick,48,1.681241237,,,,,
keeping,23,1.361727836,,,,,
say,8548,3.931864513,,,,,
raise,11,1.041392685,,,,,
downhill,3,0.477121255,,,,,
lad,2,0.301029996,,,,,
oceans,0,0,,,,,
cocoon,7,0.84509804,,,,,
flies,71,1.851258349,,,,,
meadow,18,1.255272505,,,,,
spun,2,0.301029996,,,,,
rung,1,0,,,,,
sore,69,1.838849091,,,,,
astronaut,27,1.431363764,,,,,
stood,31,1.491361694,,,,,
tie,217,2.336459734,,,,,
trim,8,0.903089987,,,,,
hind,1,0,,,,,
enter,3,0.477121255,,,,,
dimmer,0,0,,,,,
return,28,1.447158031,,,,,
bamboo,5,0.698970004,,,,,
carnival,16,1.204119983,,,,,
aside,6,0.77815125,,,,,
downtown,13,1.113943352,,,,,
flap,18,1.255272505,,,,,
till,107,2.029383778,,,,,
glee,0,0,,,,,
seashore,3,0.477121255,,,,,
wool,58,1.763427994,,,,,
facing,10,1,,,,,
easily,28,1.447158031,,,,,
binoculars,21,1.322219295,,,,,
herd,4,0.602059991,,,,,
baby,6064,3.782759193,,,,,
goblin,9,0.954242509,,,,,
cemetery,36,1.556302501,,,,,
schedule,10,1,,,,,
hawk,16,1.204119983,,,,,
everywhere,170,2.230448921,,,,,
matter,690,2.838849091,,,,,
building,239,2.378397901,,,,,
bush,79,1.897627091,,,,,
onto,135,2.130333768,,,,,
zoo,462,2.664641976,,,,,
stomach,85,1.929418926,,,,,
double,35,1.544068044,,,,,
comb,341,2.532754379,,,,,
would,4538,3.656864492,,,,,
dirt,167,2.222716471,,,,,
giggle,8,0.903089987,,,,,
deserve,5,0.698970004,,,,,
colony,1,0,,,,,
they,10517,4.021891874,,,,,
woodman,0,0,,,,,
had,2223,3.346939463,,,,,
simply,11,1.041392685,,,,,
